
code	|	name	|	preferred name	|	taxid
1	|	Abelmoschus esculentus	|	 	|	455045
1	|	Abies balsamea	|	 	|	90345
1	|	Abietinella abietina	|	 	|	61542
1	|	Abutilon theophrasti	|	 	|	3631
1	|	Acalypha rhomboidea	|	 	|	32204
3	|	Acalypha virginica	|	 	|	 
2	|	Acer ginnala	|	Acer tataricum subsp. ginnala	|	57656
1	|	Acer negundo	|	 	|	4023
2	|	Acer nigrum	|	Acer saccharum subsp. nigrum	|	291207
1	|	Acer pensylvanicum	|	 	|	66214
1	|	Acer platanoides	|	 	|	4025
1	|	Acer pseudoplatanus	|	 	|	4026
1	|	Acer rubrum	|	 	|	45314
1	|	Acer saccharinum	|	 	|	75745
1	|	Acer saccharum	|	 	|	4024
1	|	Acer spicatum	|	 	|	57652
1	|	Achillea filipendulina	|	 	|	282736
1	|	Achillea millefolium	|	 	|	13329
1	|	Achillea ptarmica	|	 	|	133233
1	|	Aconitum napellus	|	 	|	112591
1	|	Acorus americanus	|	 	|	263995
1	|	Acorus calamus	|	 	|	4465
1	|	Actaea pachypoda	|	 	|	64023
1	|	Actaea racemosa	|	 	|	64040
1	|	Actaea rubra	|	 	|	64024
1	|	Adenocaulon bicolor	|	 	|	496616
1	|	Adiantum pedatum	|	 	|	29590
1	|	Aegopodium podagraria	|	 	|	40902
1	|	Aesculus glabra	|	 	|	322042
1	|	Aesculus hippocastanum	|	 	|	43364
1	|	Aethusa cynapium	|	 	|	40954
1	|	Agalinis auriculata	|	 	|	4172
1	|	Agalinis gattingeri	|	 	|	546846
1	|	Agalinis purpurea	|	 	|	374692
1	|	Agalinis skinneriana	|	 	|	546854
1	|	Agalinis tenuifolia	|	 	|	282244
1	|	Agastache foeniculum	|	 	|	39269
1	|	Agastache nepetoides	|	 	|	672814
1	|	Agastache scrophulariifolia	|	 	|	672816
1	|	Ageratina altissima	|	 	|	102750
1	|	Agoseris glauca	|	 	|	1234494
1	|	Agrimonia eupatoria	|	 	|	57912
1	|	Agrimonia gryposepala	|	 	|	932091
1	|	Agrimonia parviflora	|	 	|	32217
3	|	Agrimonia pubescens	|	 	|	 
3	|	Agrimonia rostellata	|	 	|	 
1	|	Agrimonia striata	|	 	|	1503866
1	|	Agrostemma githago	|	 	|	39848
1	|	Agrostis canina	|	 	|	218142
1	|	Agrostis capillaris	|	 	|	204232
3	|	Agrostis capillaris;Agrostis	|	 	|	 
1	|	Agrostis gigantea	|	 	|	345916
1	|	Agrostis hyemalis	|	 	|	481245
1	|	Agrostis perennans	|	 	|	568787
1	|	Agrostis scabra	|	 	|	345920
1	|	Agrostis stolonifera	|	 	|	63632
1	|	Ailanthus altissima	|	 	|	23810
3	|	Ajuga genevensis	|	 	|	 
1	|	Ajuga reptans	|	 	|	38596
1	|	Akebia quinata	|	 	|	13331
1	|	Albizia julibrissin	|	 	|	3813
1	|	Alcea rosea	|	 	|	65557
1	|	Aletris farinosa	|	 	|	167569
1	|	Alisma plantago-aquatica	|	 	|	15000
1	|	Alisma subcordatum	|	 	|	365733
1	|	Alisma triviale	|	 	|	365734
1	|	Alliaria petiolata	|	 	|	126270
1	|	Allium canadense	|	 	|	472403
1	|	Allium cepa	|	 	|	4679
1	|	Allium cernuum	|	 	|	70754
1	|	Allium rotundum	|	 	|	1174972
1	|	Allium sativum	|	 	|	4682
1	|	Allium schoenoprasum	|	 	|	74900
1	|	Allium scorodoprasum	|	 	|	166823
1	|	Allium stellatum	|	 	|	74901
1	|	Allium tricoccum	|	 	|	138334
1	|	Allium vineale	|	 	|	1053326
1	|	Alnus glutinosa	|	 	|	3517
1	|	Alnus incana	|	 	|	3516
2	|	Alnus viridis	|	Alnus alnobetula	|	38784
1	|	Alopecurus aequalis	|	 	|	114194
3	|	Alopecurus carolinianus	|	 	|	 
1	|	Alopecurus geniculatus	|	 	|	114195
1	|	Alopecurus pratensis	|	 	|	15304
1	|	Althaea officinalis	|	 	|	145745
1	|	Alyssum alyssoides	|	 	|	169068
1	|	Alyssum murale	|	 	|	226037
1	|	Amaranthus albus	|	 	|	124760
1	|	Amaranthus arenicola	|	 	|	1454533
1	|	Amaranthus blitoides	|	 	|	124761
1	|	Amaranthus caudatus	|	 	|	3567
1	|	Amaranthus cruentus	|	 	|	117272
1	|	Amaranthus graecizans	|	 	|	1454542
1	|	Amaranthus hybridus	|	 	|	3565
1	|	Amaranthus hypochondriacus	|	 	|	28502
1	|	Amaranthus powellii	|	 	|	158579
1	|	Amaranthus retroflexus	|	 	|	124763
1	|	Amaranthus tricolor	|	 	|	29722
1	|	Amaranthus tuberculatus	|	 	|	277990
1	|	Amaranthus viridis	|	 	|	56196
1	|	Amblyodon dealbatus	|	 	|	67244
1	|	Amblystegium serpens	|	 	|	99400
1	|	Amblystegium varium	|	 	|	111436
1	|	Ambrosia artemisiifolia	|	 	|	4212
1	|	Ambrosia psilostachya	|	 	|	29715
1	|	Ambrosia trifida	|	 	|	4214
1	|	Amelanchier arborea	|	 	|	52521
1	|	Amelanchier bartramiana	|	 	|	35968
1	|	Amelanchier canadensis	|	 	|	52523
1	|	Amelanchier interior	|	 	|	1143211
1	|	Amelanchier intermedia	|	 	|	52530
1	|	Amelanchier laevis	|	 	|	52531
1	|	Amelanchier ovalis	|	 	|	1000415
1	|	Amelanchier sanguinea	|	 	|	52536
1	|	Amelanchier spicata	|	 	|	1143213
1	|	Ammannia robusta	|	 	|	1441980
1	|	Ammophila arenaria	|	 	|	96047
1	|	Ammophila breviligulata	|	 	|	286491
1	|	Amorpha canescens	|	 	|	252450
1	|	Amorpha fruticosa	|	 	|	48131
2	|	Ampelopsis brevipedunculata	|	Ampelopsis glandulosa var. brevipedunculata	|	178805
1	|	Amphicarpaea bracteata	|	 	|	45679
1	|	Amphidium lapponicum	|	 	|	61544
1	|	Anagallis arvensis	|	 	|	4337
1	|	Anaphalis margaritacea	|	 	|	49045
3	|	Anastrophyllum helleranum	|	 	|	 
